respondent,trial_nr,salience,position,responseTime
24,9,low,central,1235.3306956356391
24,10,low,central,785.932669765316
24,11,high,central,750.8955044322647
24,12,low,central,1186.3253603223711
24,13,high,peripheral,867.7952240686864
24,14,low,peripheral,1018.8242591102608
24,15,high,peripheral,684.2487224494107
24,16,high,peripheral,667.794038890861
24,17,low,central,801.6007869737223
24,18,high,central,600.9722449816763
24,19,low,central,834.3189445440657
24,20,low,central,985.1781033212319
24,21,low,peripheral,1318.2520133559592
24,22,high,central,550.889183417894
24,23,high,peripheral,734.230253379792
24,24,low,central,1269.5852452307008
24,25,low,peripheral,2469.951466715429
24,26,high,central,768.2647540350445
24,27,low,peripheral,1885.640127118677
24,28,high,peripheral,850.5693816114217
24,29,high,central,534.8402274539694
24,30,low,peripheral,968.4125068597496
24,31,low,peripheral,818.5670744278468
24,32,low,peripheral,867.1686574234627
25,1,low,peripheral,1819.1750396508723
25,2,high,central,884.8916089627892
25,3,low,peripheral,1902.5437638629228
25,4,high,peripheral,751.4005932025611
25,5,high,peripheral,851.5867069363594
25,6,low,central,2187.028617132455
25,7,low,peripheral,1001.7856797203422
25,8,low,central,901.4838128350675
25,9,high,central,832.6893164776266
25,10,low,central,967.9142588283867
25,11,low,central,1401.9995662383735
25,12,low,central,1235.2380186785012
25,13,high,central,784.6154209692031
25,14,high,peripheral,801.4691560529172
25,15,low,central,918.2656465563923
25,16,high,central,750.408987980336
25,17,low,central,967.7633452229202
25,18,low,peripheral,1201.751388143748
25,19,high,central,818.1044219527394
25,20,high,central,751.4013831969351
25,21,low,central,1067.9664467461407
25,22,low,peripheral,1200.86091873236
25,23,high,central,667.9508811794221
25,24,low,peripheral,1218.3653207030147
25,25,high,peripheral,901.504356181249
25,26,low,peripheral,1233.641178580001
25,27,high,peripheral,800.2950323279947
25,28,high,peripheral,934.8230853211135
25,29,low,peripheral,1085.1014656946063
25,30,high,peripheral,785.4944339487702
25,31,high,central,617.8230587393045
25,32,high,peripheral,884.7442509140819
23,3,low,peripheral,2003.3694815356284
23,4,low,peripheral,2119.3469630088657
23,5,high,peripheral,1250.8246912620962
23,6,low,peripheral,2319.1075555514544
23,7,high,central,1752.5775802787393
