respondent;block;trial_nr;sound;salience;arousal;responseTime
12;VO;9;visual only;high;visual only;634.519665502012
12;VO;10;visual only;high;visual only;633.405985310674
12;VO;11;visual only;low;visual only;2252.95437383465
12;VO;12;visual only;low;visual only;834.364247974008
12;VO;13;visual only;low;visual only;1519.03547928669
12;VO;14;visual only;high;visual only;735.464377794415
12;VO;15;visual only;high;visual only;601.382243679836
12;VO;16;visual only;low;visual only;818.142204079777
12;VO;17;visual only;high;visual only;834.839507937431
12;VO;18;visual only;high;visual only;851.439231308177
12;VO;19;visual only;low;visual only;968.476012116298
12;VO;20;visual only;low;visual only;1002.01481720433
12;VO;21;visual only;low;visual only;1051.71166639775
12;VO;22;visual only;low;visual only;1602.78826998547
12;VO;23;visual only;high;visual only;784.846362192184
12;VO;24;visual only;low;visual only;735.219044145197
12;VO;25;visual only;high;visual only;934.960120590404
12;VO;26;visual only;low;visual only;985.105365049094
12;VO;27;visual only;high;visual only;601.457700366154
12;VO;28;visual only;high;visual only;618.106806650758
12;VO;29;visual only;low;visual only;1719.67532206327
12;VO;30;visual only;low;visual only;701.270164456218
12;VO;31;visual only;high;visual only;1018.57305900194
